sku,item_name,websites,base_image_url,item_url
WSP0017AF,Pol Roger  Rich Demi-Sec,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0017af_2.jpg,https://th.wine-now.com/pol-roger-rich-demi-sec.html
WSP0021AC,Cockatoo Ridge  Brut Cuvee,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0021C.jpg,https://th.wine-now.com/cockatoo-ridge-brut-cuvee.html
WSP0022AC,Crane Lake  Sparkling Brut,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0022ac.jpg,https://th.wine-now.com/crane-lake-sparkling-brut.html
WSP0023AC,Dumont  Blanc de Blancs Brut,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0023C.jpg,https://th.wine-now.com/dumont-blanc-de-blancs-brut.html
WSP0024AC,Dumont  Blanc de Blancs Demi Sec,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0024C.jpg,https://th.wine-now.com/dumont-blanc-de-blancs-demi-sec.html
WSP0025AA,Freixenet  Cordon Rosado Brut,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0025ac_1.jpg,https://th.wine-now.com/freixenet-cordon-rosado-brut.html
WSP0026AA,Freixenet  Cordon Negro Brut,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/w/s/wsp0026aap.jpg,https://th.wine-now.com/freixenet-cordon-negro-brut.html
WSP0027AC,Freixenet  Vintage Reserva Brut,"Liq9 B2B, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0027C.jpg,https://th.wine-now.com/freixenet-vintage-reserva-brut.html
WSP0028AC,Jacquart  Champagne Brut Mosaique,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0028C.jpg,https://th.wine-now.com/jacquart-champagne-brut-mosaique.html
WSP0029AC,Jacquart  Champagne Blanc de Blancs,"Admin, Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0029C.jpg,https://th.wine-now.com/jacquart-champagne-blanc-de-blancs.html
WSP0030AC,Jacquart  Champagne Rose (Brut),"Wine-now & Liq9, Wine-now.asia",https://th.wine-now.com/media/catalog/product/S/P/SP0030C.jpg,https://th.wine-now.com/jacquart-champagne-rose-brut.html
